"id","date","year","industry_format","ticker","name","currency","total_assets","income","employee","total_liabilities","income_tax_paid","operating_expenses","status","market_value","price","city","abbreviation"
"1704","20161031","2016","INDL","AMAT","APPLIED MATERIALS INC","USD","14588","1698","16.7","7371","44","8277","A","31348.24","29.08","Santa Clara","CA"
"1706","20160831","2016","INDL","ATU","ACTUANT CORP  -CL A","USD","1442.538","-143.357","5.2","921.588","21.4","992.976","A","1404.8738","23.83","Menomonee Falls","WI"
"1722","20161231","2016","INDL","ADM","ARCHER-DANIELS-MIDLAND CO","USD","39769","835","31.8","22564","398","59783","A","26157.45","45.65","Chicago","IL"
"1743","20161231","2016","INDL","ARCB","ARCBEST CORP","USD","1309.992","22.731","13","711.095","-8.2","2560.197","A","708.0889","27.65","Fort Smith","AR"
"1773","20161231","2016","INDL","ARW","ARROW ELECTRONICS INC","USD","14206.366","423.618","18.7","9740.746","190.109","22733.925","A","6339.4969","71.3","Centennial","CO"
"1783","20161130","2016","INDL","ARTW","ARTS WAY MFG INC","USD","27.243","-1.124","0.126","9.767","0.005","21.272","A","13.3543","3.25","Armstrong","IA"
"1794","20160930","2016","INDL","ASH","ASHLAND GLOBAL HOLDINGS INC","USD","9697","-11","11","6532","108","4031","A","7188.9","115.95","Covington","KY"
"1823","20161231","2016","INDL","ATRO","ASTRONICS CORP","USD","604.344","47.994","2.304","266.895","15.898","534.884","A","983.5694","33.84","East Aurora","NY"
"1828","20161231","2016","INDL","ACLLF","ATCO LTD  -CL I","CAD","19724","618","6.751","12525","63","2163","A","5122.0148","44.66","Calgary","AB"
"1860","20160930","2016","INDL","ATW","ATWOOD OCEANICS","USD","4539.792","264.206","0.938","1309.406","35.653","457.376","A","563.1033","8.69","Houston","TX"
"1864","20170131","2016","INDL","REX","REX AMERICAN RESOURCES CORP","USD","454.024","39.518","0.114","65.75","6.94","384.629","A","544.7598","83.03","Dayton","OH"
"1878","20170131","2016","INDL","ADSK","AUTODESK INC","USD","4798.1","-639.5","9","4064.5","77.7","2304.8","A","17919.202","81.34","San Rafael","CA"
"1891","20160630","2016","INDL","ADP","AUTOMATIC DATA PROCESSING","USD","43670","1538","57","39188.4","651.6","9140.5","A","41865.159","91.87","Roseland","NJ"
"1906","20161231","2016","INDL","AVHI","A V HOMES INC","USD","840.233","147.107","0.332","389.426","1.24","731.7","A","355.7054","15.8","Scottsdale","AZ"
"1919","20160630","2016","INDL","AVT","AVNET INC","USD","11239.805","426.794","17.7","6548.519","92.993","25225.813","A","5158.9485","40.51","Phoenix","AZ"
"1968","20161231","2016","INDL","BMI","BADGER METER INC","USD","349.699","33.44","1.562","93.49","19.723","323.081","A","1075.9471","36.95","Milwaukee","WI"
"1976","20161231","2016","INDL","BHI","BAKER HUGHES INC","USD","19034","-2764","33","6297","-74","9345","A","27547.28","64.97","Houston","TX"
"1979","20161231","2016","INDL","BCPC","BALCHEM CORP  -CL B","USD","948.626","54.237","1.06","427.593","30.741","410.513","A","2665.1314","83.92","New Hampton","NY"
"1988","20161231","2016","INDL","BLL","BALL CORP","USD","16173","-36","18.45","12632","68","7697","A","13127.1156","75.07","Broomfield","CO"
"2002","20161231","2016","INDL","BPOP","POPULAR INC","USD","38661.609","153.291","7.828","33463.652","3.763","1017.888","A","4548.1216","43.82","Hato Rey","PR"
